mfb_name,mfb_size,dec23_under_500k,dec23_over_500k,dec23_total,dec24_under_500k,dec24_over_500k,dec24_total,change_total
KENYA WOMEN,Large,1012190,1197,1013387,961729,945,962674,-50713
BRANCH,Small,687188,106,687294,861529,74,861603,174309
SMEP,Medium,573766,550,574316,584912,534,585446,11130
ON IT,Small,506335,37,506372,518339,20,518359,11987
FAULU,Large,265883,3247,269130,256234,3025,259259,-9871
CHOICE,Small,8971,19,8990,91900,51,91951,82961
RAFIKI,Large,74747,582,75329,79607,607,80214,4885
CARITAS,Small,52246,745,52991,57500,967,58467,5476
SUMAC,Medium,16191,306,16497,16393,266,16659,162
U & I,Small,8814,92,8906,12861,71,12932,4026
UMBA,Small,7161,21,7182,10484,74,10558,3376
MUUNGANO,Small,5893,46,5939,8904,70,8974,3035
SALAAM,Small,6428,22,6450,7531,48,7579,1129
LOLC,Medium,5609,63,5672,7275,110,7385,1713
