mfb_name,mfb_size, gross_npl_ksh_m ,interest_suspense_ksh_m,total_npl_ksh_m,impairment_allowance_ksh_m,net_npl_ksh_m
KENYA WOMEN,Large,4668,0,4668,1071,3597
FAULU,Large,3250,424,2826,1536,1289
RAFIKI,Large,2361,643,1718,266,1452
SMEP,Medium,112,-153,265,0,265
CARITAS,Small,360,47,313,140,173
SUMAC,Medium,572,0,572,101,471
LOLC,Medium,132,16,117,61,55
U & I,Small,70,38,32,60,-28
SALAAM,Small,0,0,0,0,0
DARAJA,Not Classified,22,0,22,0,22
MAISHA,Not Classified,151,0,151,143,8
BRANCH,Small,104,20,84,53,31
MUUNGANO,Small,52,6,47,12,35
CHOICE,Small,14,3,11,3,8
