mfb_name,mfb_size,dec23_insured_ksh_m,dec23_customer_ksh_m,dec24_insured_ksh_m,dec24_customer_ksh_m,change_insured_ksh_m,change_customer_ksh_m
FAULU,Large,2879,15509,2581,15229,-298,-280
KENYA WOMEN,Large,6432,16220,6389,13593,-43,-2627
CARITAS,Small,856,3190,1075,4152,218,962
RAFIKI,Large,780,3282,771,3235,-9,-47
SMEP,Medium,983,2183,966,2272,-17,89
SUMAC,Medium,223,1282,198,1184,-25,-98
SALAAM,Small,152,156,50,741,-102,585
U & I,Small,107,476,105,563,-1,87
LOLC,Small,72,162,106,487,34,325
ON IT,Small,46,446,36,414,-11,-32
CHOICE,Small,30,112,68,365,38,253
BRANCH,Medium,168,377,154,280,-13,-97
MUUNGANO,Small,75,163,111,244,36,81
UMBA,Small,23,64,53,78,30,14
